,Features,Importance
0,al_000,0.053362593967917656
1,ag_002,0.05256606180633847
2,ap_000,0.04665280672730884
3,ee_005,0.04536131812935743
4,ck_000,0.038661919292510324
5,aa_000,0.032976932641050456
6,cn_000,0.03225343881591201
7,bx_000,0.024769779803152734
8,ag_005,0.019266504411028576
9,ag_003,0.019088522953621505
10,do_000,0.018196799297414152
11,cs_002,0.017977216049785267
12,ag_001,0.016565680786802442
13,ds_000,0.015459323825029854
14,ay_006,0.015003913209279861
